file ID, u, v, depth
0,81,124,412
1,76,131,415
2,74,122,410
3,80,112,394
4,77,128,384
5,83,132,357
6,91,135,320
7,99,148,318
8,108,163,329
9,118,178,343
10,117,199,344
11,133,200,353
12,144,203,405
13,128,226,411
14,134,239,351
15,128,233,390
16,136,239,397
17,136,230,389
18,135,230,408
19,127,228,391
20,135,231,398
21,129,224,394
22,133,230,391
23,119,220,404
24,110,232,391
25,119,213,376
26,99,234,379
27,86,235,361
28,83,228,370
29,62,235,357
30,62,232,359
31,52,222,333
32,67,223,379
33,49,228,360
34,51,228,340
35,48,225,354
36,60,229,347
37,43,224,337
38,45,226,351
39,51,221,345
40,44,213,333
41,46,199,348
42,71,187,298
43,68,175,246
44,69,158,236
45,79,159,285
46,71,124,334
47,54,109,401
48,57,95,416
49,59,87,398
50,67,84,422
51,61,86,430
52,53,97,420
53,58,100,426
54,72,85,421
55,52,95,412
56,54,96,403
57,53,89,399
58,54,89,410
59,51,110,399
60,51,101,402
61,67,93,382
62,61,101,350
63,66,109,337
64,72,119,331
65,78,135,321
66,86,150,271
67,103,158,322
68,102,173,277
69,103,190,337
70,107,202,316
71,114,191,338
72,112,210,371
73,135,187,390
74,124,206,382
75,112,212,380
76,110,213,379
77,110,212,369
78,105,215,343
79,130,194,364
80,117,208,374
81,89,208,363
82,81,204,327
83,71,202,339
84,65,218,346
85,73,213,335
86,43,210,334
87,41,203,314
88,28,213,310
89,36,216,315
90,24,211,331
91,32,214,328
92,27,208,315
93,34,215,307
94,25,200,311
95,25,200,304
96,56,186,291
97,48,171,250
98,49,152,272
99,47,124,324
100,34,109,322
101,34,105,373
102,33,105,386
103,39,93,386
104,49,95,399
105,44,93,387
106,38,94,389
107,38,95,385
108,40,106,382
109,42,94,389
110,47,98,332
111,55,110,378
112,66,105,323
113,78,115,311
114,92,121,351
115,86,134,323
116,102,144,340
117,118,160,316
118,86,173,252
119,92,184,330
120,103,194,324
121,78,215,342
122,76,214,335
123,83,239,297
124,67,239,312
125,52,220,344
126,47,219,348
127,44,212,349
128,35,204,353
129,16,197,327
130,6,187,268
131,14,182,292
132,18,169,279
133,0,150,311
134,19,155,299
135,19,139,329
136,19,129,338
137,43,119,339
138,55,118,344
139,63,121,248
140,81,106,321
141,95,110,336
142,85,138,317
143,118,129,318
144,100,159,291
145,90,168,296
146,139,176,283
147,134,189,296
148,127,203,347
149,86,207,293
150,76,212,276
151,78,239,270
152,67,223,312
153,50,214,305
154,43,207,287
155,25,211,298
156,30,190,303
157,15,178,293
158,10,173,298
159,12,164,310
160,14,142,313
161,30,157,323
162,30,112,301
163,49,106,318
164,42,100,317
165,63,94,370
166,65,123,375
167,95,100,407
168,106,105,359
169,111,109,331
170,114,124,244
171,129,132,313
172,130,145,329
173,135,160,270
174,132,177,326
175,125,192,327
176,112,203,359
177,100,209,340
178,70,204,334
179,85,190,334
180,47,203,263
181,41,222,308
182,31,209,294
183,23,203,267
184,14,192,292
185,13,181,301
186,7,167,284
187,4,153,309
188,15,140,301
189,7,121,286
190,32,116,292
191,37,132,308
192,38,96,333
193,52,93,343
194,73,118,322
195,67,128,330
196,90,102,364
197,103,106,346
198,116,115,365
199,127,122,353
200,132,134,301
201,137,149,326
202,102,172,323
203,134,175,358
204,124,191,373
205,114,205,339
206,81,196,215
207,72,196,279
208,62,194,296
209,62,215,332
210,48,187,325
211,36,202,309
212,32,191,300
213,22,179,289
214,19,164,309
215,15,151,289
216,15,133,317
217,32,121,271
218,33,119,323
219,37,111,353
220,58,106,373
221,71,100,379
222,81,99,401
223,90,106,382
224,91,108,408
225,94,128,427
226,74,135,432
227,72,136,438
228,67,171,427
229,100,110,415
230,100,111,438
231,98,110,442
232,74,171,433
233,102,110,428
234,77,131,428
235,100,109,433
236,101,108,427
237,76,138,431
238,100,110,438
239,103,110,414
240,77,139,404
241,97,117,432
242,82,132,425
243,102,114,405
244,101,114,417
245,101,115,411
246,101,117,386
247,101,119,394
248,100,125,383
249,102,133,395
250,101,146,413
251,90,161,398
252,102,169,377
253,112,183,387
254,105,188,413
255,110,202,387
256,109,202,401
257,101,215,394
258,106,207,372
259,107,210,383
260,101,203,400
261,103,209,410
262,105,199,406
263,95,199,394
264,92,199,393
265,85,194,379
266,81,197,364
267,74,207,399
268,67,202,382
269,56,206,383
270,53,203,389
271,216,161,682
272,229,154,675
273,210,158,674
274,228,156,632
275,234,156,651
276,230,150,674
277,232,152,673
278,220,156,663
279,215,157,664
280,220,149,671
281,229,147,646
282,228,144,663
283,214,148,668
284,228,147,653
285,217,138,643
286,222,146,668
287,32,174,451
288,10,160,419
289,12,147,422
290,22,134,394
291,15,123,423
292,16,124,422
293,22,99,426
294,25,93,432
295,27,90,427
296,25,88,426
297,35,91,426
298,36,92,421
299,27,94,446
