file ID, u, v, depth
0,40,79,379
1,42,75,374
2,42,77,356
3,46,65,379
4,46,74,372
5,50,67,364
6,52,61,387
7,58,62,377
8,60,70,338
9,79,72,379
10,101,68,324
11,108,85,371
12,116,94,386
13,122,104,395
14,127,112,422
15,129,121,433
16,129,129,439
17,133,127,453
18,129,128,476
19,108,138,500
20,116,158,451
21,99,151,512
22,87,147,524
23,87,150,513
24,78,153,498
25,67,151,487
26,57,136,491
27,48,144,478
28,43,132,462
29,42,123,434
30,32,115,453
31,27,107,408
32,21,102,381
33,22,89,380
34,28,76,360
35,38,68,368
36,49,62,367
37,64,58,382
38,75,60,361
39,84,62,400
40,109,64,329
41,112,83,344
42,123,95,403
43,127,114,407
44,106,118,443
45,104,122,475
46,108,107,500
47,102,143,523
48,92,142,523
49,82,138,494
50,85,135,494
51,68,146,508
52,65,135,481
53,56,139,468
54,46,140,461
55,38,129,421
56,35,120,408
57,41,100,414
58,35,93,384
59,32,87,374
60,41,74,344
61,56,65,380
62,63,57,348
63,76,56,374
64,101,56,360
65,113,63,370
66,101,89,326
67,124,93,403
68,129,108,425
69,108,116,440
70,104,122,456
71,98,105,516
72,110,128,490
73,102,116,402
74,86,155,515
75,74,154,503
76,67,159,506
77,51,144,491
78,52,131,469
79,55,118,430
80,32,130,371
81,35,116,411
82,38,103,361
83,34,91,342
84,49,76,361
85,53,67,339
86,65,56,350
87,79,51,379
88,106,56,373
89,115,66,320
90,117,82,364
91,123,100,394
92,123,112,427
93,116,125,444
94,94,117,429
95,89,120,417
96,83,121,323
97,77,131,433
98,69,118,440
99,60,124,429
100,70,117,445
101,65,120,430
102,66,115,439
103,57,127,429
104,63,129,437
105,73,129,447
106,67,133,451
107,75,135,434
108,78,130,467
109,84,140,461
110,90,122,479
111,87,124,463
112,93,135,486
113,93,142,477
114,96,141,494
115,92,124,473
116,92,125,469
117,100,137,498
118,98,136,493
119,96,142,471
120,95,134,477
121,85,134,455
122,77,126,438
123,72,108,429
124,60,100,370
125,59,82,371
126,52,68,355
127,48,54,351
128,34,50,332
129,32,47,323
130,33,45,323
131,40,49,328
132,30,52,319
133,31,57,324
134,27,61,323
135,29,65,318
136,26,73,354
137,39,77,354
138,34,84,367
139,39,90,375
140,38,96,382
141,37,108,383
142,30,117,404
143,32,132,410
144,25,137,433
145,30,144,427
146,41,133,449
147,34,146,442
148,37,145,453
149,34,145,457
150,32,138,466
151,28,147,459
152,29,142,447
153,32,148,437
154,28,148,460
155,41,144,423
156,38,146,443
157,48,144,455
158,63,141,445
159,87,125,464
160,89,139,477
161,113,136,472
162,115,126,434
163,130,131,502
164,144,120,493
165,141,134,452
166,141,127,503
167,144,128,503
168,146,132,506
169,144,128,512
170,141,130,504
171,143,133,514
172,141,133,486
173,143,129,500
174,142,131,499
175,140,126,512
176,135,125,497
177,130,124,485
178,126,119,429
179,127,108,443
180,119,87,424
181,103,86,351
182,90,73,362
183,90,58,372
184,78,49,344
185,76,41,340
186,60,38,322
187,52,32,307
188,65,31,325
189,54,31,302
190,52,32,322
191,61,32,327
192,59,36,322
193,54,37,326
194,60,41,312
195,58,43,335
196,56,48,309
197,47,56,310
198,46,62,348
199,53,72,320
200,50,85,370
201,43,100,364
202,39,119,357
203,38,129,401
204,50,128,439
205,36,146,436
206,38,146,439
207,45,135,453
208,44,147,449
209,37,147,459
210,46,142,457
211,40,142,448
212,38,145,432
213,51,140,426
214,48,144,436
215,48,139,450
216,49,145,444
217,53,144,463
218,61,142,453
219,67,147,432
220,77,142,434
221,103,142,465
222,115,139,426
223,118,141,473
224,115,128,458
225,124,139,492
226,129,136,499
227,137,136,489
228,132,142,475
229,131,143,501
230,140,135,510
231,133,141,488
232,132,140,494
233,132,143,496
234,133,141,494
235,132,142,495
236,132,139,498
237,129,139,486
238,125,132,488
239,121,122,476
240,108,108,378
241,119,110,370
242,112,96,390
243,96,83,360
244,91,69,351
245,84,54,313
246,82,43,344
247,77,40,312
248,70,34,309
249,70,31,313
250,67,34,325
251,68,34,312
252,71,38,319
253,69,40,328
254,69,46,338
255,67,47,313
256,69,55,326
257,63,57,320
