file ID, u, v, depth
0,145,205,778
1,193,215,781
2,177,205,780
3,178,217,786
4,167,214,777
5,189,215,795
6,171,212,777
7,177,211,794
8,189,215,796
9,194,218,787
10,172,206,776
11,193,216,775
12,191,214,779
13,210,205,760
14,138,194,783
15,139,183,796
16,166,239,456
17,165,239,418
18,165,207,352
19,187,191,306
20,161,152,267
21,162,144,238
22,191,109,163
23,189,98,306
24,182,77,370
25,163,73,433
26,181,89,446
27,145,79,424
28,175,76,380
29,178,93,447
30,170,87,464
31,173,87,443
32,176,92,454
33,144,91,466
34,142,94,463
35,158,87,464
36,165,93,468
37,171,97,459
38,139,94,462
39,151,83,444
40,156,82,460
41,153,84,464
42,156,83,463
43,163,84,400
44,158,86,446
45,157,92,414
46,143,95,387
47,142,101,363
48,112,124,405
49,118,119,307
50,125,132,395
51,116,140,406
52,110,172,399
53,113,159,364
54,87,182,413
55,102,193,412
56,86,181,388
57,100,197,391
58,87,198,406
59,88,201,396
60,86,199,397
61,73,187,410
62,90,199,404
63,76,192,408
64,76,194,392
65,80,198,414
66,71,194,418
67,84,194,407
68,84,188,409
69,74,193,399
70,89,204,402
71,91,206,400
72,92,202,387
73,87,193,391
74,114,206,387
75,118,181,368
76,128,195,375
77,151,182,353
78,161,185,358
79,171,196,355
80,180,196,355
81,195,203,385
82,226,202,411
83,234,208,411
84,234,196,418
85,208,199,418
86,224,209,411
87,242,210,404
88,238,210,412
89,234,209,417
90,238,209,410
91,235,204,410
92,237,210,414
93,239,202,341
94,236,198,374
95,209,195,412
96,212,189,367
97,190,177,295
98,219,160,319
99,194,152,275
100,184,139,336
101,195,131,376
102,190,119,379
103,169,89,400
104,170,98,423
105,165,99,436
106,169,99,448
107,169,97,447
108,176,84,447
109,176,86,442
110,176,93,447
111,178,89,451
112,165,87,442
113,165,91,447
114,180,106,433
115,164,93,450
116,170,103,443
117,175,87,434
118,171,100,453
119,168,104,447
120,178,89,447
121,178,101,443
122,177,89,450
123,169,99,452
124,170,98,448
125,161,83,450
126,177,94,448
127,179,87,445
128,182,90,434
129,176,84,437
130,180,85,434
131,175,84,450
132,176,91,449
133,167,100,448
134,179,84,434
135,179,87,433
136,163,82,446
137,177,105,454
138,181,91,449
139,173,98,454
140,170,100,443
141,174,103,444
142,181,99,452
143,177,88,450
144,174,84,447
145,181,90,454
146,171,102,447
147,171,81,447
148,171,97,448
149,170,93,452
150,167,83,447
151,174,96,445
152,171,96,440
153,188,91,445
154,176,86,444
155,179,91,445
156,182,87,454
157,194,84,427
158,191,98,450
159,191,96,452
160,196,100,452
161,182,82,441
162,181,88,382
163,180,105,432
164,205,86,406
165,234,114,424
166,246,98,427
167,252,99,466
168,257,109,471
169,259,102,472
170,261,105,473
171,258,106,477
172,262,95,474
173,267,110,467
174,265,105,450
175,264,107,467
176,260,96,473
177,263,111,473
178,256,101,473
179,229,108,405
180,248,127,433
181,245,120,381
182,256,135,353
183,234,147,391
184,252,155,373
185,244,167,422
186,232,177,396
187,251,179,416
188,258,184,428
189,258,205,426
190,252,211,428
191,257,215,405
192,250,206,410
193,245,212,408
194,222,191,407
195,254,188,415
196,240,188,424
197,250,214,415
198,234,211,413
199,246,211,396
200,243,212,382
201,240,204,414
202,226,210,407
203,212,186,380
204,212,198,335
205,198,196,325
206,183,207,355
207,169,205,366
208,154,201,338
209,140,211,364
210,129,188,383
211,119,211,351
212,98,210,393
213,104,207,313
214,91,205,408
215,100,212,405
216,82,205,404
217,82,206,413
218,76,204,392
219,80,200,391
220,88,211,400
221,93,213,399
222,92,212,406
223,94,210,401
224,101,208,404
225,98,203,398
226,108,196,399
227,101,182,381
228,113,155,348
229,109,174,361
230,97,158,288
231,99,146,332
232,115,143,306
233,119,134,323
234,114,125,340
235,119,120,392
236,117,115,406
237,113,104,403
238,130,106,430
239,131,105,431
240,131,105,436
241,122,91,437
242,109,96,432
243,126,86,419
244,111,104,430
245,114,108,413
246,116,95,414
247,135,111,400
248,139,112,408
249,148,92,391
250,128,91,361
251,164,108,369
252,143,96,362
253,167,89,265
254,162,106,356
255,170,111,383
256,179,104,400
257,186,103,425
258,187,111,438
259,216,109,449
260,218,109,445
261,228,113,443
262,225,115,443
263,223,113,443
264,225,108,433
265,231,103,437
266,223,110,435
267,222,112,440
268,222,117,438
269,228,116,440
270,219,112,438
271,224,94,436
272,218,94,439
273,221,110,443
274,217,94,435
275,226,110,449
276,219,108,444
277,222,115,437
278,209,104,447
279,209,92,444
280,218,114,449
281,210,109,440
282,212,105,432
283,217,100,439
284,213,99,409
285,199,100,435
286,197,110,428
287,203,94,420
288,198,95,427
289,195,104,419
290,183,80,375
291,178,79,395
292,176,102,401
293,168,103,386
294,164,82,392
295,153,86,355
296,146,95,359
297,134,102,406
298,114,103,412
299,118,106,405
300,102,111,423
301,100,111,423
302,83,101,415
303,86,119,442
304,85,128,436
305,88,120,418
306,87,127,396
307,78,128,421
308,77,134,423
309,63,165,427
310,68,171,405
311,77,181,423
312,83,161,392
313,71,183,414
314,68,187,399
315,86,179,366
316,91,186,371
317,86,211,365
318,101,209,380
319,108,195,375
320,123,229,370
321,112,215,366
322,140,228,355
323,163,208,348
324,172,207,364
325,181,215,351
326,181,218,375
327,194,215,341
328,194,206,317
329,199,199,327
330,184,179,357
331,215,186,342
332,218,178,355
333,226,171,326
334,236,165,335
335,236,154,324
336,236,144,341
337,229,136,363
338,223,128,379
339,234,120,384
340,242,111,382
341,230,106,395
342,214,101,413
343,215,97,433
344,188,113,398
345,190,73,447
346,209,80,441
347,202,83,455
348,191,70,444
349,176,65,457
350,177,75,429
351,144,82,436
352,162,79,457
353,151,66,442
354,147,72,397
355,139,75,430
356,133,73,445
357,122,92,443
358,118,95,458
359,112,101,438
360,98,92,444
361,93,116,453
362,100,122,429
363,98,128,431
364,102,116,402
365,108,128,405
366,107,133,373
367,102,162,399
368,99,173,384
369,98,148,400
370,90,156,378
371,108,157,396
372,107,165,400
373,99,190,386
374,127,198,379
375,123,194,374
376,131,209,364
377,158,203,362
378,134,184,341
379,141,184,359
380,149,180,343
381,156,177,317
382,164,189,340
383,190,194,378
384,198,188,358
385,210,187,333
386,213,175,329
387,215,167,298
388,219,159,337
389,215,151,305
390,208,145,326
391,226,141,348
392,208,132,302
393,223,126,357
394,225,110,369
395,219,108,333
396,195,108,395
397,193,105,384
398,203,106,390
399,190,105,396
