file ID, u, v, depth
0,178,221,734
1,151,217,706
2,177,221,709
3,150,208,733
4,159,207,740
5,143,207,744
6,143,203,757
7,152,208,742
8,153,206,743
9,167,216,751
10,180,210,736
11,168,214,762
12,155,204,754
13,143,207,753
14,201,205,778
15,188,217,760
16,154,235,423
17,158,239,380
18,143,239,348
19,143,222,219
20,134,208,208
21,140,171,114
22,138,131,182
23,170,101,295
24,163,82,373
25,145,76,431
26,183,72,443
27,170,57,453
28,165,61,454
29,168,57,453
30,170,64,441
31,148,81,432
32,173,87,457
33,141,90,461
34,166,58,438
35,171,65,450
36,151,78,448
37,164,67,451
38,163,67,453
39,170,61,440
40,171,67,454
41,174,71,453
42,171,66,454
43,145,78,429
44,164,60,440
45,160,95,388
46,154,95,417
47,152,115,408
48,133,65,311
49,131,93,414
50,99,90,305
51,115,101,349
52,106,104,336
53,103,119,324
54,103,135,317
55,110,151,287
56,103,164,284
57,117,173,288
58,140,183,300
59,160,201,282
60,163,194,311
61,174,197,316
62,178,195,351
63,222,193,358
64,229,177,369
65,236,179,355
66,246,166,353
67,246,149,381
68,246,136,361
69,180,190,326
70,239,108,367
71,207,107,388
72,216,120,345
73,208,112,296
74,198,105,364
75,188,99,377
76,181,70,390
77,144,73,360
78,133,73,387
79,149,84,431
80,143,89,453
81,128,62,460
82,136,78,364
83,125,60,441
84,120,62,439
85,124,58,435
86,124,57,447
87,123,60,439
88,136,78,454
89,131,67,448
90,120,64,435
91,123,68,449
92,129,60,447
93,130,61,444
94,136,68,452
95,120,64,443
96,136,70,421
97,130,60,432
98,134,68,447
99,129,58,446
100,128,58,436
101,127,58,436
102,125,59,435
103,123,60,443
104,122,58,427
105,121,67,440
106,133,76,443
107,126,59,440
108,127,62,427
109,132,63,393
110,134,66,379
111,160,85,420
112,148,78,388
113,151,79,372
114,192,97,378
115,198,67,394
116,192,69,398
117,188,91,404
118,196,86,372
119,199,91,439
120,213,73,343
121,201,100,424
122,209,83,416
123,232,66,445
124,214,82,454
125,232,66,449
126,231,64,398
127,223,70,439
128,209,91,358
129,219,95,409
130,233,90,392
131,233,105,345
132,241,116,334
133,238,129,325
134,234,150,379
135,211,179,317
136,251,147,355
137,253,147,413
138,254,149,414
139,244,153,412
140,229,170,407
141,250,153,398
142,246,166,408
143,241,149,405
144,233,149,368
145,227,150,372
146,218,174,371
147,209,174,357
148,195,143,365
149,186,147,352
150,173,147,324
151,166,154,338
152,147,143,350
153,138,148,337
154,133,154,362
155,117,147,340
156,116,152,374
157,114,161,338
158,108,156,414
159,103,154,410
160,97,148,415
161,84,168,415
162,94,143,419
163,91,143,416
164,100,141,411
165,96,129,392
166,102,163,384
167,95,171,285
168,108,103,418
169,116,103,404
170,111,87,432
171,96,99,332
172,129,141,439
173,140,94,436
174,120,64,449
175,113,71,454
176,121,56,450
177,123,53,450
178,126,55,455
179,125,51,439
180,126,51,436
181,127,57,434
182,122,57,434
183,150,88,432
184,143,67,443
185,120,85,433
186,135,70,357
187,154,55,419
188,145,81,390
189,153,95,366
190,163,99,365
191,191,70,408
192,196,76,387
193,183,104,422
194,195,79,446
195,206,72,451
196,214,62,441
197,219,58,436
198,221,64,436
199,210,60,430
200,215,58,452
201,217,58,437
202,214,59,437
203,204,62,452
204,202,68,446
205,204,61,443
206,196,73,443
