file ID, u, v, depth
0,129,238,722
1,121,236,708
2,123,237,721
3,121,239,698
4,133,235,714
5,133,233,680
6,122,238,724
7,125,233,698
8,123,236,732
9,117,235,707
10,124,238,712
11,120,238,720
12,123,231,710
13,120,233,717
14,116,233,728
15,121,239,738
16,122,236,743
17,118,230,733
18,113,239,745
19,123,231,756
20,123,237,783
21,114,230,788
22,116,230,796
23,115,229,809
24,109,221,792
25,108,222,841
26,115,225,842
27,117,224,872
28,120,228,827
29,119,228,854
30,113,228,816
31,107,224,851
32,106,229,803
33,121,230,824
34,116,219,837
35,105,229,815
36,107,223,800
37,121,227,816
38,117,233,780
39,112,219,809
40,114,232,810
41,114,230,807
42,114,230,820
43,120,238,786
44,116,231,794
45,116,230,789
46,121,229,788
47,115,228,798
48,114,232,785
49,114,230,776
50,112,237,795
51,118,229,780
52,112,231,768
53,124,236,779
54,123,231,786
55,116,230,802
56,122,231,817
57,119,226,816
58,112,230,793
59,114,230,794
60,116,230,789
61,120,239,797
62,114,233,790
63,112,231,792
64,118,227,814
65,116,231,794
66,114,233,815
67,119,231,796
68,114,223,804
69,115,225,766
70,110,231,778
71,116,233,791
72,111,222,843
73,112,230,799
74,237,216,767
75,238,199,721
76,233,197,707
77,225,179,701
78,213,162,699
79,208,165,713
80,206,148,716
81,188,139,679
82,182,131,686
83,170,121,613
84,182,131,651
85,176,123,638
86,171,106,580
87,169,122,617
88,149,86,550
89,162,117,606
90,161,112,602
91,147,112,589
92,163,103,568
93,136,84,580
94,139,84,585
95,139,71,567
96,140,75,597
97,135,75,584
98,132,79,577
99,129,80,577
100,145,113,572
101,127,81,572
102,126,80,571
103,134,90,561
104,127,91,564
105,129,89,580
106,130,81,581
107,131,77,564
108,131,80,581
109,135,79,570
110,133,81,566
111,140,82,572
112,142,82,569
113,141,78,579
114,143,79,580
115,148,77,580
116,148,83,545
117,187,116,518
118,162,72,553
119,167,69,575
120,178,73,548
121,185,72,562
122,191,75,569
123,198,73,537
124,205,70,577
125,211,71,563
126,216,82,580
127,222,81,575
128,222,95,557
129,226,99,563
130,232,101,531
131,241,100,543
132,235,112,557
133,245,113,526
134,234,124,519
135,236,136,525
136,242,137,535
137,239,143,497
138,253,147,539
139,240,160,527
140,244,163,503
141,236,162,493
142,230,163,489
143,213,168,497
144,213,168,463
145,206,170,499
146,189,172,452
147,177,175,462
148,170,180,470
149,167,177,408
150,163,177,485
151,149,175,454
152,149,163,496
153,136,168,473
154,129,164,491
155,121,159,491
156,120,153,465
157,113,150,507
158,119,142,490
159,119,136,478
160,112,131,498
161,117,126,526
162,113,125,528
163,120,116,510
164,119,111,527
165,119,107,530
166,126,105,511
167,120,102,547
168,125,104,574
169,129,92,501
170,142,94,560
171,139,86,540
172,156,91,496
173,157,83,558
174,160,80,585
175,166,81,566
176,165,79,581
177,171,78,596
178,173,80,584
179,172,78,595
180,170,81,593
181,175,85,590
182,169,84,587
183,169,82,586
184,169,80,581
185,172,80,584
186,174,85,582
187,174,90,584
188,173,80,564
189,174,85,578
190,172,80,581
191,171,87,587
192,174,85,583
193,170,85,583
194,169,93,553
195,173,86,583
196,174,85,583
197,169,84,571
198,169,83,562
199,169,83,586
200,173,83,586
201,174,87,579
