file ID, u, v, depth
0,110,191,912
1,109,190,936
2,109,190,905
3,107,186,915
4,102,222,924
5,110,187,894
6,115,193,913
7,107,189,943
8,95,222,864
9,91,220,932
10,108,187,930
11,105,184,908
12,91,213,934
13,83,181,911
14,92,216,908
15,81,181,924
16,104,190,865
17,69,215,927
18,105,190,940
19,103,188,901
20,100,190,927
21,101,190,936
22,87,214,928
23,97,191,938
24,101,170,924
25,98,187,898
26,97,188,934
27,81,216,903
28,81,216,895
29,98,184,939
30,96,188,895
31,89,219,900
32,82,211,951
33,95,186,950
34,131,238,641
35,117,214,585
36,106,194,568
37,98,171,578
38,107,156,490
39,102,121,416
40,93,100,559
41,76,159,559
42,100,129,546
43,116,146,564
44,121,171,536
45,121,169,537
46,122,158,538
47,124,152,557
48,132,121,557
49,97,165,566
50,129,145,577
51,85,130,582
52,128,130,615
53,99,142,623
54,134,164,637
55,123,109,647
56,115,147,672
57,103,108,678
58,97,129,686
59,109,127,713
60,118,114,731
61,125,107,734
62,106,140,744
63,117,155,763
64,110,143,780
65,125,114,770
66,114,149,793
67,121,148,798
68,113,134,806
69,120,138,812
70,118,150,815
71,121,152,816
72,121,148,806
73,118,114,834
74,111,145,831
75,119,147,830
76,119,148,835
77,125,149,845
78,122,141,853
79,120,141,845
80,118,145,856
81,132,157,844
82,121,142,872
83,120,145,857
84,128,139,857
85,122,140,860
86,128,139,864
87,124,130,898
88,122,131,889
89,132,137,907
90,125,136,918
91,116,136,912
92,124,136,948
93,129,141,949
94,116,138,950
95,124,139,947
96,115,138,980
97,126,145,969
98,116,137,982
99,114,140,987
100,113,142,994
101,117,144,997
102,115,144,978
103,115,137,1041
104,113,137,1031
105,113,136,1005
106,114,137,1005
107,112,136,970
108,113,136,1040
119,123,135,1021
217,67,175,1104
219,75,203,1192
220,94,182,1086
221,74,177,1047
222,80,204,1054
223,82,205,1030
224,88,214,987
225,104,185,985
226,91,215,997
227,82,180,989
228,83,180,970
229,108,187,1013
230,106,186,978
231,107,187,995
232,90,208,999
233,91,208,1008
234,95,214,898
235,112,187,999
236,110,187,924
237,108,184,982
238,91,208,975
239,107,183,974
240,108,185,956
241,107,186,979
242,89,215,954
243,112,187,941
