file ID, u, v, depth
0,153,182,906
1,153,180,893
2,137,211,895
3,158,161,903
4,135,221,909
5,155,182,898
6,152,182,843
7,153,181,878
8,157,188,907
9,133,218,848
10,150,181,858
11,153,166,913
12,125,175,902
13,142,217,918
14,149,187,885
15,137,216,888
16,121,175,901
17,120,175,888
18,125,214,864
19,142,216,951
20,182,239,620
21,186,223,607
22,163,185,613
23,180,168,627
24,156,151,624
25,156,139,635
26,145,134,635
27,139,129,656
28,139,124,664
29,139,124,650
30,141,123,678
31,149,135,691
32,147,130,671
33,154,141,697
34,147,136,691
35,146,142,702
36,152,135,664
37,146,121,679
38,150,133,658
39,145,159,710
40,143,154,691
41,152,167,692
42,145,159,698
43,133,156,718
44,127,150,681
45,119,145,716
46,147,160,720
47,160,141,704
48,132,133,707
49,133,156,706
50,136,144,711
51,119,142,717
52,123,144,654
53,139,159,712
54,135,138,688
55,135,138,713
56,147,160,704
57,119,142,698
58,161,149,716
59,140,161,699
60,160,134,712
61,137,150,710
62,160,177,666
63,146,161,707
64,144,157,696
65,136,130,696
66,146,157,696
67,139,151,704
68,145,149,715
69,181,170,711
70,188,187,713
71,169,154,723
72,145,138,715
73,176,123,708
74,169,125,696
75,204,144,689
76,171,156,722
77,180,137,726
78,174,165,666
79,174,169,708
80,190,197,709
81,172,187,680
82,187,163,689
83,196,162,689
84,177,170,672
85,170,169,661
86,178,170,662
87,189,183,656
88,155,177,659
89,160,168,642
90,138,161,660
91,150,167,666
92,145,172,658
93,138,158,668
94,153,191,661
95,132,167,665
96,104,151,667
97,138,148,637
98,136,141,646
99,132,137,660
100,104,170,676
101,115,177,648
102,103,144,666
103,97,165,686
104,137,172,653
105,95,156,694
106,99,132,693
107,137,172,670
108,111,119,703
109,133,146,704
110,105,142,702
111,124,141,669
112,141,163,699
113,110,130,708
114,116,134,705
115,121,134,695
116,122,131,709
117,131,136,680
118,125,122,698
119,143,138,715
120,175,103,700
121,134,120,702
122,150,130,715
123,142,121,692
124,166,142,709
125,168,146,708
126,162,134,715
127,193,196,708
128,173,152,711
129,175,144,714
130,163,143,703
131,152,126,703
132,167,149,713
133,160,137,711
134,150,130,699
135,162,146,705
136,149,131,705
137,167,153,699
138,156,137,704
139,154,140,704
140,167,150,710
141,146,128,702
142,154,137,704
143,149,128,705
