file ID, u, v, depth
0,125,188,810
1,127,186,832
2,122,166,860
3,120,189,858
4,121,165,846
5,121,169,812
6,112,218,836
7,124,165,848
8,124,167,840
9,118,162,809
10,107,217,840
11,120,189,838
12,125,168,847
13,119,182,831
14,124,183,853
15,117,169,867
16,114,220,835
17,118,188,857
18,190,238,618
19,208,224,603
20,201,209,610
21,193,182,622
22,191,178,646
23,187,159,624
24,192,162,613
25,197,150,658
26,187,140,622
27,180,134,633
28,182,131,633
29,180,125,649
30,182,117,642
31,179,119,623
32,172,112,616
33,171,117,589
34,175,114,551
35,168,126,548
36,151,87,534
37,173,134,538
38,180,116,528
39,158,87,551
40,162,134,547
41,169,99,537
42,163,95,554
43,172,95,548
44,174,98,562
45,179,94,517
46,182,93,554
47,180,100,548
48,188,95,566
49,187,93,570
50,191,94,573
51,192,93,580
52,188,96,566
53,191,88,574
54,188,85,579
55,183,89,581
56,192,87,590
57,193,86,593
58,189,86,583
59,194,86,592
60,189,88,567
61,194,86,577
62,193,87,586
63,190,90,580
64,195,92,583
65,192,87,578
66,188,90,572
67,188,90,580
68,200,113,556
69,191,94,565
70,185,92,570
71,185,87,580
72,182,95,572
73,179,99,565
74,181,91,566
75,192,87,558
76,183,101,573
77,194,90,582
78,198,93,553
79,197,87,588
80,194,95,584
81,198,91,589
82,192,93,580
83,198,94,590
84,189,96,597
85,194,93,583
86,194,91,594
87,188,97,583
88,186,98,579
89,192,93,580
90,190,96,570
91,186,98,563
92,191,99,582
93,192,95,572
94,196,97,583
95,202,95,576
96,211,93,571
97,213,102,572
98,232,96,576
99,243,98,564
100,238,113,581
101,242,123,571
102,239,134,583
103,257,138,576
104,247,148,573
105,239,157,540
106,230,167,562
107,225,172,537
108,196,165,506
109,203,175,506
110,184,167,534
111,172,161,460
112,174,151,516
113,174,139,511
114,177,137,528
115,167,122,513
116,173,119,556
117,166,114,552
118,175,105,575
119,183,98,585
120,192,102,549
121,199,94,608
122,206,96,616
123,216,101,550
124,220,107,598
125,219,111,607
126,219,110,599
127,220,106,614
128,219,106,622
129,217,110,609
130,214,111,611
131,214,111,618
132,212,110,589
133,211,115,614
134,218,107,607
135,216,106,609
136,215,106,594
137,213,108,604
138,207,108,592
139,202,106,586
140,194,106,541
141,175,114,556
142,165,110,535
143,164,105,564
144,150,103,502
145,144,110,498
146,133,106,522
147,120,106,518
148,115,107,516
149,120,106,539
150,120,103,530
151,131,98,524
152,144,105,520
153,149,96,519
154,160,106,508
155,169,100,520
156,176,105,520
157,180,123,447
158,190,125,517
159,169,139,484
160,191,146,520
161,172,161,518
162,181,171,481
163,157,177,498
164,156,182,482
165,142,182,502
166,133,184,474
167,125,182,498
168,124,162,481
169,107,162,466
170,96,155,471
171,95,143,443
172,110,135,509
173,95,124,518
174,101,125,513
175,105,119,482
176,113,110,545
177,113,101,510
178,131,111,539
179,132,100,530
180,142,106,529
181,145,100,537
182,155,115,522
183,142,125,521
184,154,119,522
185,147,112,543
186,149,111,543
187,150,110,530
188,148,106,525
189,140,114,533
190,145,113,529
191,153,108,521
192,142,110,529
193,147,112,530
194,152,109,539
195,150,113,522
196,145,114,530
197,150,110,543
198,150,105,521
199,142,120,538
200,148,106,542
201,137,116,520
202,138,110,493
203,133,116,510
204,128,108,486
205,115,118,445
206,113,109,511
207,107,112,455
208,103,119,476
209,93,115,500
210,82,107,511
211,77,118,489
212,65,114,515
213,55,110,517
214,44,112,521
215,40,114,527
216,36,114,526
217,72,145,491
218,46,110,493
219,49,104,503
220,63,101,531
221,72,89,485
222,88,95,478
223,97,91,499
224,110,97,472
225,119,100,477
226,128,105,481
227,132,124,473
228,134,131,445
229,122,148,439
230,133,159,421
231,125,162,473
232,93,183,483
233,86,188,468
234,73,189,450
235,61,182,469
236,53,172,481
237,47,162,472
238,45,150,477
239,52,140,509
240,86,149,492
241,55,122,514
242,68,118,490
243,74,114,515
244,86,118,496
245,94,125,518
246,83,119,519
247,87,116,501
248,93,115,500
249,91,117,516
250,89,115,506
251,89,119,489
252,91,118,499
253,93,116,500
254,96,112,506
255,96,111,510
256,96,121,502
257,92,114,500
258,92,114,500
259,93,115,504
260,96,111,502
261,104,121,499
262,122,127,515
263,98,122,503
264,96,111,510
265,93,118,500
266,93,118,517
267,93,128,483
268,96,112,511
269,92,116,500
270,93,116,500
271,101,117,501
272,93,116,496
273,95,113,510
274,95,118,502
275,103,120,498
276,97,115,503
277,101,117,505
278,105,123,507
279,104,121,472
280,96,115,502
281,102,127,489
282,97,125,494
283,92,128,516
284,97,115,477
285,98,116,487
