file ID, u, v, depth
0,108,221,885
1,104,219,900
2,105,221,882
3,108,220,851
4,107,225,856
5,110,222,877
6,110,223,891
7,114,224,870
8,108,220,886
9,108,220,879
10,109,220,880
11,105,218,858
12,105,218,902
13,105,218,859
14,109,223,890
15,104,222,895
16,112,215,890
17,98,221,922
18,99,215,948
19,109,215,933
20,95,217,966
21,99,210,1006
22,96,218,982
23,94,221,983
24,119,237,633
25,110,218,544
26,111,196,434
27,117,177,586
28,107,152,581
29,97,138,604
30,107,119,620
31,105,110,596
32,114,102,678
33,114,95,713
34,112,89,732
35,103,83,735
36,110,82,739
37,99,84,743
38,105,80,723
39,94,83,716
40,102,81,722
41,101,96,750
42,93,100,710
43,98,102,721
44,113,111,716
45,90,110,715
46,111,112,720
47,108,109,718
48,108,108,718
49,107,109,711
50,113,111,716
51,105,98,731
52,109,102,729
53,102,107,742
54,108,107,735
55,90,100,741
56,111,112,738
57,98,103,743
58,101,98,727
59,103,109,743
60,100,104,751
61,109,98,745
62,99,99,749
63,99,104,751
64,103,101,730
65,112,96,729
66,99,108,728
67,95,105,724
68,91,106,726
69,99,98,714
70,106,112,711
71,109,111,713
72,109,112,719
73,105,99,719
74,102,113,711
75,109,100,699
76,102,107,719
77,101,103,706
78,111,99,688
79,105,96,689
80,108,104,717
81,102,107,716
82,107,100,710
83,108,112,721
84,109,112,713
85,100,97,715
86,112,102,692
87,113,109,697
88,117,98,716
89,115,109,723
90,123,109,733
91,122,98,730
92,133,102,724
93,134,104,737
94,125,114,738
95,125,109,722
96,144,105,734
97,138,102,726
98,137,106,751
99,141,102,739
100,131,116,726
101,132,114,753
102,147,103,734
103,151,119,755
104,146,105,741
105,138,121,752
106,139,122,747
107,143,121,730
108,150,131,742
109,165,134,745
110,173,134,747
111,167,142,749
112,154,147,726
113,183,161,722
114,176,167,726
115,176,174,730
116,162,181,701
117,168,170,732
118,154,182,717
119,151,190,721
120,150,202,704
121,144,205,688
122,139,211,675
123,152,196,669
124,127,212,673
125,119,201,643
126,138,216,647
127,101,200,645
128,99,210,629
129,88,200,624
130,92,200,644
131,92,199,603
132,79,179,646
133,89,173,644
134,74,180,650
135,71,165,638
136,63,160,655
137,80,148,648
138,72,154,638
139,150,171,663
140,171,148,657
141,95,132,678
142,77,126,679
143,79,117,639
144,97,119,668
145,90,100,696
146,96,107,678
147,105,96,713
148,113,101,725
149,125,100,744
150,140,104,751
151,121,97,759
152,125,103,759
153,138,102,750
154,136,98,754
155,132,106,743
156,137,106,732
157,138,102,756
158,132,97,746
159,129,98,757
160,129,105,762
161,125,104,757
162,127,97,750
163,139,104,763
164,132,105,748
165,137,101,737
166,129,108,748
167,141,105,739
168,139,96,754
169,128,104,753
170,137,106,739
171,141,98,750
172,143,112,741
173,125,107,746
174,125,104,733
175,125,109,746
176,144,103,746
177,125,104,757
178,129,104,747
179,128,104,729
180,136,107,750
181,123,106,739
182,133,100,748
183,125,114,747
184,132,105,725
185,130,115,725
186,126,110,723
187,128,104,711
188,125,100,689
189,122,92,698
190,123,94,706
191,122,95,693
192,120,106,719
193,108,123,713
194,104,153,769
195,119,166,688
196,116,177,748
197,115,194,755
198,119,211,769
199,90,214,1069
200,104,212,1098
201,105,217,1039
202,135,198,1174
203,130,197,1215
204,133,197,1192
205,103,217,1097
206,104,219,1111
207,140,158,1129
208,136,174,1121
209,139,158,1161
210,137,174,1154
211,137,174,1145
212,138,173,1105
213,135,199,1128
214,136,174,1162
215,134,173,1154
216,135,174,1125
217,139,160,1141
218,142,199,1149
219,138,172,1115
220,136,175,1143
221,138,175,1135
222,135,198,1191
223,134,199,1154
224,139,159,1180
225,132,198,1181
226,134,198,1173
227,138,172,1115
228,139,198,1158
229,138,172,1129
230,132,198,1154
231,136,175,1101
232,135,173,1164
233,135,199,1190
234,135,199,1145
235,130,198,1180
236,144,198,1169
237,135,199,1119
238,128,196,1190
239,138,172,1157
240,137,176,1119
241,135,199,1145
242,135,199,1163
243,140,198,1159
244,137,173,1146
245,138,172,1124
246,138,172,1097
247,134,199,1180
248,103,213,1137
249,140,199,1200
250,136,172,1174
251,135,199,1154
252,134,199,1100
253,136,200,1153
254,135,174,1162
255,137,199,1155
256,131,197,1208
257,134,199,1145
258,140,199,1165
259,133,199,1188
260,135,199,1189
261,134,199,1154
262,137,174,1154
263,137,176,1142
264,136,171,1138
265,136,175,1111
266,140,199,1157
267,129,197,1163
268,139,200,1119
269,138,172,1129
270,104,206,1184
271,143,198,1212
272,135,174,1125
273,91,214,1088
274,95,229,675
275,103,234,643
276,102,184,595
277,90,181,670
278,105,163,650
279,114,151,660
280,95,135,632
281,105,121,611
282,94,107,632
283,109,95,639
284,225,105,617
285,114,84,684
286,113,84,690
287,113,93,674
288,115,101,697
289,114,88,722
290,130,109,725
291,116,101,716
292,127,106,723
293,124,107,727
294,130,107,712
295,111,111,714
296,127,112,712
297,125,109,725
298,129,112,724
299,138,115,725
300,125,114,723
301,133,105,719
302,120,104,719
303,114,110,716
304,128,107,723
305,132,110,725
306,136,109,708
307,126,105,728
308,131,106,736
309,142,115,729
310,127,102,716
311,120,110,726
312,133,101,724
313,132,114,654
314,125,114,729
315,136,107,732
316,138,114,734
317,130,105,736
318,125,114,723
319,125,103,721
320,137,106,727
321,136,118,728
322,128,104,723
323,115,110,711
324,114,106,716
325,125,104,721
