file ID, u, v, depth
0,112,237,715
1,124,239,718
2,122,238,711
3,118,239,718
4,119,239,727
5,119,238,715
6,116,234,682
7,107,239,709
8,120,238,723
9,134,235,714
10,111,235,704
11,126,228,734
12,109,225,716
13,105,235,700
14,124,229,732
15,120,238,723
16,104,228,738
17,110,239,721
18,155,228,696
19,104,223,720
20,131,235,749
21,104,230,741
22,109,225,726
23,116,230,749
24,128,233,728
25,110,226,699
26,112,239,734
27,109,231,765
28,130,230,733
29,117,231,759
30,110,229,781
31,104,223,779
32,126,232,774
33,105,225,777
34,104,223,785
35,105,227,786
36,108,232,782
37,106,227,819
38,104,223,797
39,123,234,819
40,106,226,827
41,105,225,771
42,105,225,777
43,108,218,820
44,118,229,817
45,114,216,790
46,118,228,787
47,101,225,798
48,101,223,821
49,119,231,835
50,118,229,798
51,104,228,816
52,207,239,575
53,204,222,542
54,196,206,522
55,184,185,516
56,169,158,474
57,166,126,467
58,156,132,448
59,177,100,510
60,177,93,536
61,177,89,554
62,186,107,552
63,189,104,559
64,179,89,566
65,187,103,551
66,187,113,581
67,181,101,522
68,180,96,534
69,181,101,518
70,178,106,546
71,172,111,494
72,175,119,534
73,164,113,522
74,155,120,481
75,152,123,528
76,147,112,521
77,138,127,502
78,134,118,492
79,127,120,517
80,123,122,498
81,120,124,514
82,122,127,523
83,115,91,500
84,133,120,483
85,130,98,507
86,131,82,503
87,154,122,498
88,145,68,508
89,148,76,525
90,166,115,539
91,167,112,539
92,171,111,485
93,144,83,479
94,158,121,526
95,169,116,513
96,141,76,520
97,140,87,511
98,159,133,521
99,144,83,518
100,177,126,520
101,145,82,523
102,166,134,521
103,150,73,537
104,146,87,525
105,171,113,521
106,148,77,506
107,146,78,538
108,140,90,516
109,143,82,514
110,154,79,531
111,156,84,516
112,150,81,523
113,158,86,521
114,157,83,533
115,156,84,533
116,158,86,517
117,153,92,518
118,154,94,510
119,155,107,497
120,153,125,472
121,150,144,408
122,153,165,440
123,143,184,444
124,152,200,396
125,164,227,405
126,154,206,419
127,142,210,402
128,146,205,419
129,147,206,410
130,136,199,422
131,122,198,401
132,115,196,418
133,105,193,380
134,81,193,404
135,82,190,406
136,57,191,389
137,60,187,434
138,36,189,436
139,30,190,448
140,24,189,447
141,22,186,460
142,29,190,448
143,19,186,447
144,29,189,458
145,27,188,457
146,27,183,460
147,29,181,448
148,33,179,456
149,38,175,444
150,45,174,443
151,41,167,403
152,43,150,433
153,45,146,459
154,50,129,466
155,58,120,474
156,49,112,473
157,53,106,484
158,67,100,496
159,62,90,473
160,60,94,508
161,102,110,522
162,67,85,523
163,101,114,514
