file ID, u, v, depth
0,93,231,822
1,102,231,810
2,93,226,822
3,91,217,820
4,93,224,806
5,91,223,799
6,93,227,814
7,89,225,794
8,98,228,838
9,92,231,795
10,93,225,798
11,93,223,847
12,99,219,858
13,91,226,814
14,87,223,892
15,81,218,923
16,81,220,952
17,122,177,1001
18,121,176,993
19,117,177,1015
20,115,174,1016
21,116,177,1014
22,117,160,1039
23,119,204,1034
24,116,203,1007
25,79,212,1011
26,111,201,1006
27,115,204,1031
28,116,202,983
29,80,211,989
30,114,173,999
31,114,175,1032
32,111,201,1023
33,82,210,1019
34,112,202,1005
35,119,203,1036
36,117,178,1032
37,119,172,1013
38,118,172,1012
39,117,174,975
40,117,174,1001
41,81,209,985
42,194,228,761
43,192,230,718
44,195,219,704
45,195,206,714
46,193,202,697
47,189,201,688
48,185,186,698
49,183,179,698
50,177,173,673
51,173,166,685
52,165,150,653
53,162,144,645
54,160,140,635
55,174,171,669
56,173,154,665
57,178,162,666
58,176,164,666
59,176,163,666
60,180,165,678
61,183,166,656
62,184,166,685
63,187,164,635
64,195,162,660
65,175,149,680
66,174,144,678
67,176,149,672
68,182,154,682
69,184,155,678
70,187,159,665
71,188,160,684
72,189,159,674
73,190,160,686
74,185,164,660
75,189,162,679
76,188,164,662
77,184,167,675
78,191,166,686
79,190,167,647
80,194,169,630
81,195,169,682
82,196,171,661
83,196,171,668
84,197,172,654
85,192,174,661
86,200,176,650
87,199,175,676
88,200,177,674
89,202,178,673
90,201,179,666
91,202,177,661
92,195,177,665
93,198,172,634
94,196,166,631
95,184,155,611
96,186,144,671
97,183,140,687
98,180,140,675
99,180,139,675
100,175,144,674
101,177,142,651
102,173,157,628
103,166,170,623
104,164,178,639
105,162,188,625
106,157,200,622
107,155,203,622
108,152,205,617
109,152,206,622
110,152,202,599
111,152,197,630
112,153,188,617
113,144,182,587
114,140,173,592
115,138,165,600
116,130,147,631
117,126,141,624
118,126,139,632
119,126,139,620
120,122,140,623
121,115,153,593
122,114,158,601
123,111,169,606
124,115,176,593
125,104,194,574
126,100,210,580
127,96,216,572
128,98,216,573
129,97,217,578
130,98,214,568
131,101,209,567
132,93,210,565
133,91,199,579
134,92,189,549
135,84,179,538
136,88,168,550
137,72,152,601
138,73,148,629
139,67,142,618
140,67,140,612
141,73,142,631
142,69,143,594
143,71,144,622
144,65,143,625
145,73,146,610
146,71,148,614
147,66,148,621
148,71,145,627
149,71,143,615
150,70,144,621
151,68,143,616
152,67,144,627
153,70,144,617
154,68,143,631
155,68,142,625
156,67,144,611
157,72,145,609
158,69,147,592
159,69,144,626
160,71,145,615
161,79,143,623
162,77,147,607
163,69,146,613
164,69,141,633
165,69,141,630
166,81,142,619
167,79,143,623
168,77,145,608
169,74,138,633
170,79,136,631
171,72,135,652
172,68,132,648
173,79,138,624
174,62,142,665
175,64,137,669
176,80,154,687
177,57,148,679
178,74,183,675
179,69,185,700
180,80,199,734
181,82,206,740
182,124,221,826
183,156,215,980
184,123,204,1002
185,117,176,990
186,120,173,970
187,127,161,977
188,81,219,937
189,87,214,905
190,82,214,907
191,83,220,914
192,83,218,872
193,92,214,895
194,81,225,852
195,95,220,882
196,91,225,878
197,96,219,849
198,94,225,832
199,99,223,846
200,92,223,840
201,96,218,851
202,91,223,852
203,100,224,866
204,87,223,841
205,85,220,843
206,85,229,851
207,82,233,856
208,80,219,860
209,88,221,888
210,102,218,899
211,95,220,889
212,84,221,899
213,119,177,950
214,120,216,940
215,119,173,938
216,82,216,927
217,81,215,985
218,81,220,969
219,79,212,937
220,113,176,987
221,117,160,987
222,130,216,988
223,117,159,1005
224,119,159,998
225,112,175,1013
226,114,203,997
227,80,215,967
228,76,218,1018
229,205,200,759
230,198,179,783
231,206,167,790
232,205,152,799
233,204,135,768
234,192,112,770
235,207,128,767
236,191,106,735
237,196,106,738
238,199,106,754
239,196,111,757
240,202,108,764
241,203,109,763
242,205,108,762
243,205,108,750
244,202,112,753
245,202,113,730
246,206,109,738
247,202,114,753
248,206,108,750
249,204,109,751
250,204,107,751
251,203,107,758
252,203,106,728
253,200,106,759
254,194,107,739
255,188,103,741
256,185,93,727
257,181,90,763
258,176,87,734
259,171,92,749
260,169,88,765
261,167,88,760
262,169,85,752
263,168,85,764
264,169,86,741
265,168,90,743
266,167,91,725
267,168,98,728
268,165,105,705
269,165,111,686
