file ID, u, v, depth
0,141,210,767
1,189,221,767
2,188,217,766
3,170,219,757
4,142,215,751
5,184,204,775
6,145,209,760
7,173,217,769
8,144,209,793
9,178,215,769
10,189,219,761
11,180,218,768
12,190,219,742
13,210,200,766
14,190,219,753
15,178,220,746
16,150,209,757
17,141,206,763
18,172,215,766
19,140,209,760
20,177,209,760
21,138,201,767
22,169,214,767
23,139,198,777
24,187,239,430
25,201,231,338
26,183,221,304
27,199,179,181
28,190,149,280
29,190,120,330
30,163,148,358
31,174,99,376
32,170,91,375
33,172,90,372
34,167,91,408
35,171,94,340
36,167,89,384
37,164,89,373
38,162,93,403
39,167,92,398
40,170,94,397
41,167,92,389
42,170,94,354
43,161,90,272
44,146,88,257
45,129,108,200
46,104,136,197
47,103,157,289
48,115,173,223
49,150,168,194
50,179,145,198
51,188,108,268
52,182,95,242
53,146,79,263
54,128,89,217
55,124,97,344
56,121,96,377
57,127,93,364
58,128,92,380
59,127,95,375
60,127,92,377
61,130,94,371
62,133,97,360
63,129,99,375
64,131,97,377
65,132,97,367
66,131,96,368
67,136,95,355
68,139,94,372
69,149,101,295
70,129,88,258
71,112,96,213
72,102,121,229
73,97,143,275
74,100,163,298
75,119,179,259
76,146,191,248
77,176,172,153
78,199,142,286
79,192,100,272
80,166,82,224
81,150,95,201
82,144,101,280
83,132,112,362
84,133,111,364
85,138,110,353
86,131,108,369
87,135,111,360
88,132,109,359
89,128,110,357
90,133,111,363
91,133,111,369
92,132,111,364
93,130,111,370
94,131,110,366
95,138,113,359
96,135,116,367
97,141,109,342
98,150,107,331
99,138,96,344
100,123,91,271
101,118,109,220
102,102,119,245
103,102,148,323
104,112,157,281
105,114,187,268
106,142,183,281
107,171,174,144
108,184,144,207
109,189,110,276
110,170,83,292
111,146,86,235
112,133,109,245
113,118,115,295
114,135,119,359
115,125,115,355
116,125,121,360
117,127,118,357
118,130,120,352
119,126,118,346
120,126,119,344
121,128,120,345
122,128,120,354
123,131,121,351
124,128,120,357
125,129,118,353
126,128,120,357
127,127,111,352
128,135,118,304
129,111,119,260
130,103,135,282
131,100,152,319
132,105,160,320
133,107,177,308
134,124,186,307
135,146,196,246
136,175,186,176
137,209,162,200
138,193,121,228
139,179,99,256
140,156,100,210
141,125,112,219
142,132,124,342
143,125,121,358
144,131,121,345
145,124,123,330
146,132,122,363
147,128,123,352
148,132,126,353
149,129,126,354
150,128,125,358
151,132,128,356
152,132,127,357
153,132,127,356
154,131,122,330
155,130,120,354
156,126,120,325
157,118,123,282
158,114,135,282
159,116,146,332
160,116,159,319
161,127,174,298
162,146,185,249
163,174,176,127
164,190,147,195
165,199,109,257
166,180,85,245
167,155,79,275
168,134,98,224
169,134,104,307
170,120,112,349
171,118,109,361
172,124,108,354
173,121,106,371
174,119,106,361
175,129,109,344
176,123,108,353
177,119,108,359
178,121,110,372
179,121,110,373
180,123,111,364
181,123,112,369
182,124,113,371
183,120,112,369
184,122,113,342
185,119,118,304
186,112,129,285
187,154,125,304
188,115,157,321
189,131,157,300
190,142,183,322
191,168,181,259
192,197,162,164
193,181,130,316
194,191,100,222
195,170,80,305
196,148,78,242
197,129,98,212
198,128,110,325
199,120,108,367
200,128,111,364
201,131,112,346
202,119,112,354
203,121,110,367
204,122,111,367
205,126,112,366
206,130,113,369
207,138,115,362
208,126,110,357
209,126,109,368
210,125,107,361
211,124,107,361
212,121,106,351
213,120,108,352
214,116,115,284
215,110,127,284
216,106,141,317
217,117,149,335
218,118,171,336
219,135,173,343
220,151,180,295
221,177,181,256
222,188,153,199
223,169,129,286
224,179,96,216
225,154,82,266
226,131,91,213
227,121,109,227
228,117,122,362
229,127,122,347
230,116,118,361
231,120,119,363
232,120,116,361
233,121,116,346
234,121,117,358
235,123,117,371
236,123,117,365
237,124,117,356
238,123,117,347
239,139,119,360
240,127,118,362
241,122,117,361
242,124,116,365
243,123,116,368
244,125,118,355
245,125,117,351
246,144,114,363
247,129,120,361
248,132,120,362
249,133,117,354
250,127,116,338
251,128,117,356
252,127,120,362
253,127,115,355
254,124,116,365
255,127,115,360
256,123,116,362
257,129,120,359
258,127,114,368
259,127,114,358
260,127,118,363
261,129,116,362
262,128,119,367
263,126,112,346
264,129,114,353
265,129,114,362
266,126,112,355
267,142,116,363
268,136,113,365
269,136,113,361
270,128,112,364
271,128,112,363
272,129,112,365
273,139,113,365
274,125,111,365
275,142,112,362
276,128,109,369
277,132,113,336
278,132,103,359
279,133,99,346
280,120,125,309
281,120,109,327
282,140,99,345
283,144,90,368
284,163,100,385
285,160,142,343
286,137,105,447
287,159,148,436
288,164,115,394
289,153,110,442
290,156,152,479
291,164,135,435
292,158,152,422
293,161,152,372
294,139,155,391
295,144,174,401
296,152,190,329
297,153,202,497
298,168,220,516
299,173,230,552
