file ID, u, v, depth
0,157,217,743
1,169,148,764
2,174,150,751
3,164,142,759
4,157,219,760
5,166,155,786
6,148,224,766
7,166,215,787
8,158,141,769
9,220,205,773
10,147,222,768
11,222,197,749
12,225,239,419
13,225,231,397
14,229,238,380
15,231,220,381
16,232,200,328
17,228,176,233
18,244,171,330
19,235,133,317
20,231,117,349
21,234,102,357
22,229,94,390
23,244,112,412
24,241,106,403
25,240,105,424
26,238,105,416
27,249,118,434
28,221,90,436
29,242,110,374
30,222,91,438
31,239,115,424
32,241,116,392
33,243,119,429
34,241,119,414
35,239,121,418
36,241,124,413
37,241,122,421
38,243,125,420
39,244,128,381
40,242,129,430
41,212,132,418
42,248,143,434
43,220,107,433
44,246,143,430
45,227,102,411
46,228,103,425
47,226,106,387
48,229,109,408
49,219,117,379
50,226,114,410
51,227,116,393
52,226,117,414
53,227,118,418
54,226,118,411
55,225,119,407
56,228,118,404
57,228,118,422
58,229,118,394
59,228,119,413
60,229,120,419
61,228,121,411
62,231,123,409
63,230,121,414
64,230,121,405
65,230,123,412
66,230,124,421
67,230,124,417
68,228,119,396
69,232,117,424
70,234,118,417
71,229,121,355
72,244,114,415
73,252,119,412
74,253,119,384
75,234,132,341
76,242,134,361
77,248,136,379
78,259,142,370
79,258,145,372
80,261,153,379
81,258,154,368
82,257,163,379
83,252,168,365
84,249,168,392
85,243,173,388
86,224,171,337
87,233,171,397
88,225,169,392
89,224,171,394
90,215,165,404
91,216,167,401
92,211,160,377
93,209,158,386
94,205,152,383
95,204,146,385
96,207,146,403
97,206,141,385
98,212,135,376
99,207,132,394
100,205,131,406
101,210,124,372
102,208,127,397
103,217,117,398
104,225,116,382
105,225,116,351
106,235,115,374
107,242,117,384
108,248,123,394
109,252,129,382
110,238,130,407
111,247,132,399
112,249,131,409
113,249,133,398
114,248,131,384
115,247,132,406
116,246,135,391
117,246,133,379
118,249,132,393
119,243,133,408
120,245,133,393
121,246,134,399
122,247,134,401
123,247,134,406
124,249,133,393
125,248,132,399
126,245,133,400
127,246,132,399
128,246,135,401
129,245,133,403
130,247,132,392
131,243,135,411
132,242,134,405
133,242,134,381
134,236,136,407
135,239,138,409
136,236,137,412
137,233,140,404
138,228,141,417
139,226,141,421
140,220,139,433
141,212,141,429
142,212,135,395
143,208,132,349
144,194,133,365
145,193,136,413
146,200,149,428
147,198,149,431
148,191,150,426
149,179,141,426
150,191,149,429
151,189,152,437
152,179,151,428
153,185,154,419
154,178,150,434
155,178,150,422
156,180,146,427
157,180,153,423
158,174,154,409
159,174,154,420
160,177,153,423
161,174,155,417
162,174,150,422
163,172,152,423
164,173,147,420
165,169,153,409
166,170,151,397
167,169,147,415
168,167,151,425
169,168,147,414
170,163,146,401
171,159,136,420
172,158,137,390
173,154,133,405
174,151,131,416
175,149,123,424
176,154,127,416
177,147,125,416
178,150,127,419
179,155,126,421
180,153,123,413
181,152,125,397
182,156,128,381
183,160,137,268
184,179,144,296
185,170,156,305
186,183,159,321
187,182,164,362
188,186,167,371
189,189,167,374
190,189,166,346
191,193,167,378
192,189,166,362
193,193,167,379
194,193,168,376
195,190,165,375
196,194,166,378
197,193,168,366
198,191,167,364
199,188,166,368
200,192,165,357
201,190,170,384
202,187,169,378
203,181,170,342
204,177,171,344
205,166,170,345
206,165,171,359
207,156,173,365
208,153,174,374
209,153,173,358
210,149,172,372
211,150,169,374
212,144,170,373
213,150,173,382
214,148,170,369
215,152,172,364
216,151,168,373
217,150,166,370
218,151,166,322
219,158,159,352
220,161,160,352
221,169,148,306
222,178,144,304
223,177,143,334
224,181,137,357
225,188,130,374
226,190,129,375
227,191,128,355
228,190,130,365
229,191,130,371
230,192,133,378
231,190,131,380
232,190,131,364
233,191,132,376
234,191,132,362
235,190,132,378
236,191,133,380
237,190,136,379
238,184,134,374
239,180,138,359
240,177,138,368
241,184,133,365
242,180,132,370
243,167,136,384
244,176,133,371
245,174,134,357
246,170,134,392
247,164,134,378
248,161,136,381
249,164,135,408
250,162,131,382
251,156,138,407
252,150,138,391
253,149,139,408
254,148,137,407
255,141,139,407
256,141,137,395
257,139,133,406
258,135,140,393
259,133,135,406
260,130,138,405
261,122,137,404
262,124,137,407
263,121,138,410
264,161,141,403
265,118,132,410
266,111,139,395
267,105,141,408
268,102,138,408
269,105,136,419
270,101,136,412
271,100,137,424
272,98,135,403
273,94,136,407
274,94,134,416
275,92,133,408
276,89,133,414
277,91,134,419
278,87,135,412
279,87,135,418
280,89,131,428
281,84,131,430
282,87,135,426
283,85,132,411
284,117,150,345
285,104,130,418
286,105,130,405
287,112,128,410
288,117,128,410
289,118,127,395
290,122,126,394
291,123,128,312
292,125,128,384
293,128,125,391
294,129,125,392
295,129,129,392
296,137,128,379
297,133,129,382
298,132,131,347
299,129,134,366
300,132,140,367
301,130,146,328
302,131,153,306
303,134,160,345
304,127,168,338
305,126,169,364
306,123,172,370
307,124,172,367
308,118,175,375
309,120,172,371
310,120,170,371
311,115,172,381
312,116,168,375
313,112,169,381
314,106,172,378
315,106,168,391
316,97,168,364
317,95,169,387
318,91,168,385
319,89,170,381
320,89,171,393
321,86,168,389
322,87,167,378
323,86,169,377
324,89,165,385
325,85,163,376
326,88,155,401
327,88,152,369
328,88,145,329
329,92,141,379
330,95,134,401
331,94,132,399
332,96,127,401
333,98,125,393
334,93,127,402
335,102,130,397
336,95,133,397
337,96,128,397
338,104,128,395
339,103,128,388
340,111,132,396
341,111,132,404
342,116,131,375
343,130,128,392
344,126,132,403
345,130,129,399
346,131,130,359
347,137,127,402
348,135,128,389
349,137,127,395
350,137,126,384
351,142,126,388
352,139,129,391
353,136,126,393
354,143,127,396
355,137,127,397
356,135,127,394
357,136,126,406
358,140,125,404
359,139,125,399
360,138,125,406
361,147,125,401
362,143,126,388
363,142,127,401
364,136,129,389
365,139,127,401
366,138,127,400
367,142,127,392
368,138,128,403
369,141,126,392
370,142,127,404
371,140,126,406
372,139,127,410
373,146,120,410
374,141,122,409
375,146,120,424
376,137,120,418
377,144,116,422
378,144,113,405
379,145,112,405
380,140,115,431
381,141,115,438
382,138,117,447
383,135,121,454
384,144,116,439
385,157,134,450
386,143,117,469
387,142,118,468
388,170,134,462
389,145,119,471
390,158,133,480
391,161,130,481
392,149,121,488
393,149,123,475
394,143,130,426
395,164,131,507
396,162,138,502
397,176,135,491
398,177,137,516
399,163,142,521
400,163,146,451
401,172,143,399
402,171,148,498
403,183,167,513
404,167,166,535
405,176,179,540
406,164,190,548
407,184,197,533
408,174,195,529
409,172,218,524
410,185,216,510
411,174,225,514
412,180,223,560
413,140,156,779
414,164,215,772
415,207,209,770
416,172,214,744
417,161,215,768
418,175,215,771
419,169,209,761
420,171,212,767
421,162,210,770
422,135,134,765
423,147,150,766
424,132,131,756
425,169,208,769
426,149,156,772
427,149,146,758
428,146,217,764
429,134,131,757
430,177,208,755
431,181,207,763
432,152,119,764
433,174,207,759
434,157,147,761
435,187,208,748
436,145,137,756
437,187,216,761
438,150,220,756
439,165,217,743
440,158,126,768
441,165,149,738
442,180,214,739
443,149,146,747
444,165,125,757
445,169,149,749
446,154,220,741
447,170,147,747
448,168,150,739
449,171,148,723
450,172,154,738
451,165,121,714
452,174,152,739
453,172,151,740
454,151,135,724
455,154,135,726
456,177,138,726
457,178,148,724
458,131,202,729
459,100,202,732
460,176,167,730
461,149,217,728
462,131,209,729
463,103,205,705
464,114,200,708
465,126,204,707
466,108,209,712
467,114,192,706
468,107,205,704
469,104,205,705
470,111,203,684
471,110,203,673
472,108,207,691
473,110,213,693
474,113,205,677
475,120,203,659
476,119,213,661
477,118,212,686
478,115,208,676
479,117,214,664
480,118,215,632
481,119,217,680
482,120,214,669
483,118,212,660
484,116,198,668
485,117,218,651
486,117,195,661
487,120,212,668
488,116,215,671
489,120,217,679
490,116,216,646
491,120,214,664
492,120,204,660
493,115,217,643
494,119,213,662
495,119,215,656
496,116,217,686
497,123,211,630
498,116,218,668
499,120,211,684
