file ID, u, v, depth
0,106,224,823
1,104,221,853
2,108,231,841
3,107,229,817
4,105,229,809
5,107,227,839
6,107,230,815
7,104,231,824
8,106,227,832
9,105,223,798
10,100,223,813
11,101,228,833
12,95,225,853
13,214,191,723
14,209,176,739
15,200,148,690
16,178,132,663
17,173,122,636
18,159,114,598
19,148,107,604
20,121,131,589
21,119,136,629
22,130,125,631
23,116,166,599
24,120,126,639
25,122,130,671
26,128,156,665
27,111,131,661
28,151,141,660
29,151,149,636
30,152,135,650
31,175,167,677
32,185,172,708
33,184,178,716
34,184,178,728
35,173,156,745
36,182,193,760
37,172,163,741
38,174,171,724
39,170,191,720
40,174,198,729
41,174,206,693
42,173,210,711
43,175,213,696
44,170,214,707
45,177,214,673
46,179,214,667
47,172,214,684
48,181,215,671
49,181,216,680
50,187,213,753
51,182,215,703
52,182,214,682
53,181,213,706
54,180,213,695
55,179,212,696
56,179,211,697
57,179,211,698
58,179,211,697
59,173,212,720
60,179,212,718
61,178,213,707
62,179,213,701
63,173,213,708
64,179,212,696
65,179,212,713
66,179,211,697
67,179,211,720
68,178,211,720
69,179,211,709
70,179,211,709
71,179,211,695
72,173,212,687
73,179,212,674
74,179,213,717
75,179,212,718
76,179,212,713
77,178,212,680
78,179,212,729
79,179,212,697
80,178,212,724
81,178,212,713
82,178,211,709
83,178,210,699
84,176,207,708
85,174,199,706
86,172,188,676
87,169,172,649
88,162,161,683
89,160,149,707
90,160,134,711
91,157,112,706
92,152,111,705
93,147,108,717
94,150,102,729
95,147,101,728
96,147,103,678
97,144,105,722
98,136,116,727
99,139,126,716
100,129,127,719
101,123,137,670
102,114,150,687
103,100,176,693
104,96,187,703
105,94,194,663
106,92,199,662
107,104,199,677
108,91,203,647
109,92,205,673
110,102,203,625
111,95,207,657
112,94,208,661
113,105,203,645
114,103,204,666
115,94,206,657
116,95,205,659
117,95,205,659
118,110,201,662
119,104,204,661
120,110,202,683
121,97,207,642
122,97,207,680
123,97,208,668
124,98,208,658
125,107,205,667
126,112,201,669
127,122,196,661
128,139,189,648
129,154,182,669
130,174,174,692
131,187,167,681
132,197,162,698
133,202,158,690
134,212,156,720
135,209,155,694
136,216,152,725
137,214,153,703
138,207,154,719
139,203,155,698
140,209,152,718
141,205,150,710
142,191,151,667
143,185,150,676
144,163,148,695
145,152,145,619
146,138,146,673
147,124,142,642
148,111,141,669
149,101,140,681
150,96,140,701
151,92,139,703
152,93,141,721
153,94,142,699
154,96,144,700
155,100,147,702
156,103,149,692
